encoder,time
BackwardDifferenceEncoder,357.6396028995514
BaseNEncoder,352.1050605773926
BinaryEncoder,398.4646248817444
CatBoostEncoder,430.47804403305054
CountEncoder,33.923670053482056
GLMMEncoder,3801.748760700226
GrayEncoder,264.31968450546265
HashingEncoder,140.08476972579956
HelmertEncoder,171.4573459625244
JamesSteinEncoder,283.566379070282
LeaveOneOutEncoder,153.0350706577301
MEstimateEncoder,148.02723908424377
OneHotEncoder,359.20125126838684
OrdinalEncoder,21.458945989608765
PolynomialEncoder,131.99255418777466
RankHotEncoder,176.1081302165985
SumEncoder,188.59761595726013
TargetEncoder,262.8419826030731
MinHashEncoder,1318.7882311344147
SimilarityEncoder,1054.5350580215454
GapEncoder,446.8359682559967
MeanEncoder,295.099814414978
DecisionTreeEncoder,41.90020799636841
